,speed_score,unidir_ahv_score,bidir_ahv_score,theta_score,hd_score,grid_score,speed_cell,unidir_ahv_cell,bidir_ahv_cell,theta_cell,hd_cell,grid_cell
29,0.017277183654976245,0.02732667457927214,-0.014049360534868058,25.153307815171317,0.4947972308192704,0.8853556663472522,0.0,False,0.0,1.0,1.0,1.0
30,-0.0023023389317647805,0.0013295193719808755,0.010299259788860676,12.427298221004474,0.5163557298775509,0.11776768710879645,0.0,False,0.0,1.0,1.0,0.0
31,0.09822081844881687,-0.03644260464482308,0.01606038914418861,15.75483048501805,0.6696456218936772,0.40348304732140816,1.0,False,0.0,1.0,1.0,1.0
32,-0.04525822686500836,0.008602553986951162,-0.0350119920581133,27.751016011584355,0.4521925039651741,0.4131782174781695,0.0,False,0.0,1.0,1.0,1.0
33,0.0015950887899208509,-0.004333091414945343,-0.005233927155853559,3.415938190288636,0.8875164070059207,0.015836191809464203,0.0,False,0.0,0.0,1.0,0.0
34,0.0874643398385912,0.006157813720340304,0.006383618551117696,3.4814881591706803,0.2009191735276857,0.9690270178196322,1.0,False,0.0,0.0,0.0,1.0
35,-0.03904881910320046,0.016555625322901727,-0.015343872002359843,11.355936625553674,0.7345098125723759,0.0,0.0,False,0.0,1.0,1.0,0.0
36,0.0372687999878189,0.023114123254405497,-0.0006450343312108846,0.3469326218771849,0.1595931612639059,0.6062233961134245,0.0,False,0.0,0.0,0.0,1.0
37,0.07367206525665132,-0.007903114821377445,0.010630079225116941,13.448655280721269,0.13678154162945338,0.8252442586669462,0.0,False,0.0,1.0,0.0,1.0
38,0.07636322963777957,0.004505080010178646,0.01963086926070641,2.8229922713308206,0.4074155325209319,0.6767388526349607,0.0,False,0.0,0.0,1.0,1.0
39,0.09500014984721238,0.02140324271142164,-0.020908757354328462,4.450061708457615,0.1818939289075714,0.0,1.0,False,0.0,0.0,0.0,0.0
40,-0.009363744658417576,0.018896095849803504,-0.013242021212144595,15.04219658245312,0.4875880296300957,0.915100530872104,0.0,False,0.0,1.0,1.0,1.0
41,-0.06128923052693387,-0.12537669752853656,0.01622841281411945,2.9856215540996613,0.3576333014449542,0.0,0.0,True,0.0,0.0,1.0,0.0
42,0.06253310940263443,0.017276532759252297,0.01938348687829314,11.008848409554417,0.5427031669439276,-0.03048662452640772,0.0,False,0.0,1.0,1.0,0.0
43,0.0670035709122743,-0.010589637426661443,-0.022586287573747296,4.369527201286059,0.20693621922765584,-0.23995537060529096,0.0,False,0.0,0.0,0.0,0.0
44,-0.012257007322914359,-0.006052296978374585,-0.018316275909591968,8.342199974506187,0.544249033693739,1.037882976044128,0.0,False,0.0,1.0,1.0,1.0
45,0.028605241181181764,-0.03058774771735412,0.0065790267968177645,4.558695914836396,0.4263742066209251,1.0660279239818211,0.0,False,0.0,0.0,1.0,1.0
46,-0.07484640976801604,-0.007401348756277656,0.011753326430578605,3.4530439524813974,0.4852675016359079,-0.16156106560744676,0.0,False,0.0,0.0,1.0,0.0
47,0.03213952506130259,-0.04177499018773578,-0.027114747772163487,15.744917297540145,0.7933444465908466,-0.22328552830851994,0.0,False,0.0,1.0,1.0,0.0
48,0.0040557983489633185,-0.00664024710040342,0.0035100929638059823,10.33675148622309,0.3366040152831838,1.1477861937349851,0.0,False,0.0,1.0,1.0,1.0
49,0.007944286888216471,-0.01453177328249393,-0.024903291005405403,5.859193788455774,0.7675436106005837,0.040750861724154486,0.0,False,0.0,1.0,1.0,0.0
50,0.08851713815687387,0.019140728278416886,0.011895852952324574,5.291109060349722,0.11399969450040788,1.0704021607154803,1.0,False,0.0,1.0,0.0,1.0
51,0.08902358994631139,0.004595204176339574,0.027405901066807632,1.6836691139412168,0.05868733846305384,-0.11165611754020116,1.0,False,0.0,0.0,0.0,0.0
52,0.0750009458400345,0.016131031031434526,0.057283882942034965,5.422647366798215,0.8917374738250601,-0.107840512181578,0.0,False,1.0,1.0,1.0,0.0
55,-0.08636796897965622,0.019215279288461253,-0.033802936054362784,6.640723802118845,0.7404851627833573,0.01700157227501864,0.0,False,0.0,1.0,1.0,0.0
56,0.04258158932362459,-0.038020546880972506,0.06940736690385256,7.912590973656952,0.16754533420509807,0.6714097702712282,0.0,False,1.0,1.0,0.0,1.0
57,0.02456744102329645,0.02200588832334273,0.0005518485880528644,16.059298144467455,0.6079336487288198,0.8797555828400878,0.0,False,0.0,1.0,1.0,1.0
58,-0.0002550906953277236,0.008214533349716882,-0.13428569636152196,11.854504179758857,0.737852255369428,-0.09649885942169004,0.0,False,0.0,1.0,1.0,0.0
59,0.044799629391808315,0.006243608444042633,-0.00016069260357591788,13.033094822092824,0.5512123649583054,1.1319499624698648,0.0,False,0.0,1.0,1.0,1.0
60,-0.004481483564797836,-0.00907078809004611,0.006929809913361706,6.449174290114892,0.4397778457178412,0.13390818348827715,0.0,False,0.0,1.0,1.0,0.0
61,-0.024492903303916715,0.0059597336637115935,-0.04758613899277095,15.954222070361835,0.7349103659658877,0.6984630131115657,0.0,False,0.0,1.0,1.0,1.0
62,-0.05451885123243815,0.01544816179506603,-0.01584576451735596,10.725068087884212,0.5613757777078582,0.007093087284643306,0.0,False,0.0,1.0,1.0,0.0
63,0.00539237322173785,-0.02678005401271895,0.032543135586759656,10.873268632854447,0.5027540764834059,1.3671548498552997,0.0,False,0.0,1.0,1.0,1.0
64,-0.09918176907963162,-0.030936258548955337,-0.028259737795326062,10.792808401896572,0.6406697204698553,0.0,0.0,False,0.0,1.0,1.0,0.0
65,0.09360966105765964,-0.04839345131962925,0.023648362747279567,7.643482020625898,0.8600102299199758,-0.007937154107800326,1.0,False,0.0,1.0,1.0,0.0
72,-0.001114259016108482,-0.019100599107198475,-0.004462135889015382,15.319374448471851,0.5932511346010128,0.6714288137403869,0.0,False,0.0,1.0,1.0,1.0
73,-0.00019404996547793592,-0.005492794483008165,0.0487917737349492,11.55140109389554,0.4413088826085989,0.4754241629467833,0.0,False,0.0,1.0,1.0,1.0
74,-0.005112207850547218,-0.02322725747051504,0.035620629465721684,11.577947684078712,0.6116248316689136,0.05106120422079646,0.0,False,0.0,1.0,1.0,0.0
75,0.08151644646186729,-0.01690503082567385,0.03165414425734432,7.279040223191185,0.9147456806558522,-0.20171767226457893,0.0,False,0.0,1.0,1.0,0.0
76,0.06286851509291543,0.06405904373073079,0.008318267193149775,11.060308745239437,0.4803570838653856,-0.011955280890505349,0.0,True,0.0,1.0,1.0,0.0
77,0.03787095254239205,0.0469432595012948,-0.019982723657236315,13.086052020537908,0.6499868114678505,0.9393959348621804,0.0,False,0.0,1.0,1.0,1.0
78,-0.01367021588382809,0.0007998024272134632,-0.08071123465681745,2.9654982860349253,0.8067708025878662,0.0,0.0,False,0.0,0.0,1.0,0.0
79,-0.015375248068780044,0.02827630806623972,-0.042034313660870716,11.65587567610684,0.6570838929607402,0.705398865851226,0.0,False,0.0,1.0,1.0,1.0
80,-0.01478139827679627,0.03273120330811564,0.10343737676858963,8.71836492542937,0.7662466754096987,-0.17060471655299142,0.0,False,1.0,1.0,1.0,0.0
81,-0.009138096965518908,0.042544992170917985,-0.01642758431942452,4.11872409479279,0.6635463092958265,0.0,0.0,False,0.0,0.0,1.0,0.0
82,-0.006230797310312585,-0.02948148320225895,0.02410594053118256,15.236515431750385,0.6049379034198146,0.4226224625926073,0.0,False,0.0,1.0,1.0,1.0
83,0.002391549759990253,0.008589445736953603,-0.006550362049429282,8.161831312113419,0.13083898277496706,0.9816328436778132,0.0,False,0.0,1.0,0.0,1.0
84,0.013788715318794772,0.009958233982692324,-0.0040183870240147355,14.892618910177035,0.6002994860281325,0.27155123584817425,0.0,False,0.0,1.0,1.0,0.0
85,-0.047548761205529685,-0.008166783132241319,-0.00229811266219999,5.1851771853488025,0.8373164732187001,0.6274977121915878,0.0,False,0.0,1.0,1.0,1.0
86,0.08822154327685858,0.024279476707340004,0.015306876167732547,3.84096695347726,0.6779768260338476,-0.009349862450853312,1.0,False,0.0,0.0,1.0,0.0
87,0.09467554085677554,-0.0009181053274903797,-0.021682491739143918,17.273435120234236,0.7145458510772479,-0.0014772267324152375,1.0,False,0.0,1.0,1.0,0.0
88,0.12511361680498911,0.017434953914470103,0.025743831491164645,7.026031820143603,0.9089374369024852,-0.15813458691967391,1.0,False,0.0,1.0,1.0,0.0
89,0.06745949242215632,-0.03945332243117298,0.01498709297191355,7.655582011015655,0.21181360148998413,0.20037169526620324,0.0,False,0.0,1.0,0.0,0.0
90,-0.28111806575202186,-0.4002364600054764,0.2937340363591322,5.783926415639344,0.039282703428420204,-0.0630965682021544,0.0,True,1.0,1.0,0.0,0.0
91,0.08116397601161153,-0.08191427543629977,-0.032753283275260045,7.393970308062296,0.034506291930242,-0.2061835824829656,0.0,True,0.0,1.0,0.0,0.0
